[2, 6, 5, 4, 2, 9, 10]
[2, 5, 6, 4, 2, 9, 10]
[2, 5, 4, 6, 2, 9, 10]
[2, 5, 4, 2, 6, 9, 10]
[2, 5, 4, 2, 6, 9, 10]
[2, 5, 4, 2, 6, 9, 10]
[2, 5, 4, 2, 6, 9, 10]
[2, 4, 5, 2, 6, 9, 10]
[2, 4, 2, 5, 6, 9, 10]
[2, 4, 2, 5, 6, 9, 10]
[2, 4, 2, 5, 6, 9, 10]
[2, 4, 2, 5, 6, 9, 10]
[2, 4, 2, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2, 4, 5, 6, 9, 10]
[2, 2,
